Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-06-10 19:29:25,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,2026-06-03 09:31:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.2
Lume 1.2 - 2026,E1,2026-06-10 19:30:11,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,2026-06-03 09:33:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.2
Lume 1.2 - 2026,E1,2026-06-10 19:31:02,Turkana.Turkana West.Kakuma.Nakoyo.Public Stand Tap 6,2026-06-03 09:58:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),2
Lume 1.2 - 2026,E1,2026-06-10 19:33:13,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1 ,2026-06-04 08:11:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.3
Lume 1.2 - 2026,E1,2026-06-10 19:34:45,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:27:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.1
Lume 1.2 - 2026,E1,2026-06-10 19:35:38,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1 ,2026-06-04 08:13:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.3
Lume 1.2 - 2026,E1,2026-06-10 19:36:29,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:29:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.1
Lume 1.2 - 2026,E1,2026-06-10 19:37:12,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:33:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.1
Lume 1.2 - 2026,E1,2026-06-10 19:39:23,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:54:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:40:18,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:56:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:41:22,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 06:59:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:42:23,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 07:01:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:43:10,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,2026-06-09 07:04:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:44:47,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NearestToBorehole.KonaWaterKiosk,2026-06-09 07:20:00,50065,50053,1,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:46:16,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NearestToBorehole.KonaWaterKiosk,2026-06-09 07:23:00,50065,50053,2,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:47:09,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NearestToBorehole.KonaWaterKiosk,2026-06-09 07:26:00,50065,50053,2,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
