observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
96,50045,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-30 13:33:00,Source (untreated),100,TRUE,554.0,35.000,29.16,554.00,70.00,6.000,1.3495,1.3049,TRUE,Very high,Intermediate
97,50065,,2026-06-01 07:57:00,Source (untreated),0,FALSE,337.0,38.000,39.35,337.00,33.00,-1.000,0.8962,0.9335,FALSE,Conformity,Low
98,50065,,2026-06-01 08:04:00,Source (untreated),100,TRUE,337.0,38.000,39.35,337.00,33.00,-1.000,0.8962,0.8372,FALSE,Very high,Low
99,50065,,2026-06-01 08:18:00,Source (untreated),14,FALSE,305.0,37.000,39.96,305.00,1.00,-2.000,0.5368,0.5145,TRUE,Intermediate,Low
100,50065,,2026-06-01 08:26:00,Source (untreated),0,FALSE,305.0,37.000,39.96,305.00,1.00,-2.000,0.5368,0.5554,TRUE,Conformity,Low
101,50065,,2026-06-01 08:42:00,Source (untreated),3,FALSE,324.0,39.000,37.31,324.00,20.00,0.000,0.6543,0.6557,TRUE,Low,Low
102,50065,,2026-06-01 08:44:00,Source (untreated),0,FALSE,324.0,39.000,37.31,324.00,20.00,0.000,0.6543,0.6677,TRUE,Conformity,Low
103,50065,,2026-06-02 10:35:00,Source (untreated),100,TRUE,301.0,40.000,38.58,301.00,-3.00,1.000,0.4315,0.3900,FALSE,Very high,Low
104,50065,,2026-06-04 08:45:00,Treated,0,FALSE,256.0,40.000,37.82,256.00,-48.00,1.000,-0.1420,-0.1464,TRUE,Conformity,Conformity
105,50053,,2026-06-04 08:45:00,Treated,0,FALSE,788.0,32.000,35.38,788.00,-10.50,-1.000,0.2216,0.2282,TRUE,Conformity,Conformity
106,50065,,2026-06-04 09:02:00,Treated,0,FALSE,253.0,39.000,38.86,253.00,-51.00,0.000,-0.1348,-0.1396,TRUE,Conformity,Conformity
107,50053,,2026-06-04 09:02:00,Treated,0,FALSE,754.0,32.000,35.67,754.00,-44.50,-1.000,0.1466,0.1519,TRUE,Conformity,Conformity
108,50065,,2026-06-04 09:54:00,Source (untreated),100,TRUE,1474.0,122.000,36.80,1474.00,1170.00,83.000,2.0043,2.0043,TRUE,Very high,Very high
109,50053,,2026-06-04 09:54:00,Source (untreated),100,TRUE,1313.0,90.000,34.60,1313.00,514.50,57.000,1.5509,1.1165,TRUE,Very high,Intermediate
110,50065,,2026-06-04 09:56:00,Source (untreated),100,TRUE,1474.0,122.000,36.80,1474.00,1170.00,83.000,2.0043,2.0043,TRUE,Very high,Very high
111,50065,,2026-06-04 09:58:00,Source (untreated),100,TRUE,1474.0,122.000,36.80,1474.00,1170.00,83.000,2.0043,2.0043,TRUE,Very high,Very high
112,50065,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 07:48:00,Treated,0,FALSE,309.0,40.000,32.95,309.00,5.00,1.000,0.2908,0.2940,TRUE,Conformity,Conformity
113,50065,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 08:00:00,Treated,0,FALSE,311.0,39.000,36.02,311.00,7.00,0.000,0.4436,0.4494,TRUE,Conformity,Low
114,50065,Turkana.Loima.Turkwel.Lorgum.Aqutab inline chlorine unit,2026-06-02 08:18:00,Treated,0,FALSE,262.0,44.000,36.17,262.00,-42.00,5.000,-0.1380,-0.1416,TRUE,Conformity,Conformity
115,50065,,2026-06-02 08:43:00,Treated,0,FALSE,312.0,39.000,38.13,312.00,8.00,0.000,0.5445,0.5566,TRUE,Conformity,Low
116,50065,Turkana.Loima.Turkwel.Lorgum.East of treatement.Concrete fixed Public Stand Tap 4,2026-06-02 09:04:00,Treated,0,FALSE,290.0,40.000,37.01,290.00,-14.00,1.000,0.2329,0.2367,TRUE,Conformity,Conformity
117,50065,Turkana.Loima.Turkwel.Lorgum.Nearest to 32m3 steel tank.Concrete fixed Public Stand Tap 1,2026-06-02 09:16:00,Treated,0,FALSE,294.0,39.000,37.35,294.00,-10.00,0.000,0.2950,0.3002,TRUE,Conformity,Conformity
118,50065,Turkana.Loima.Turkwel.Lorgum.Behind grass roof house.Concrete fixed Public Stand Tap 3,2026-06-02 10:16:00,Treated,0,FALSE,304.0,40.000,39.32,304.00,0.00,1.000,0.4988,0.5128,TRUE,Conformity,Low
119,50065,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 10:28:00,Treated,0,FALSE,301.0,40.000,38.58,301.00,-3.00,1.000,0.4315,0.4414,TRUE,Conformity,Low
120,50065,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 10:30:00,Treated,0,FALSE,301.0,40.000,38.58,301.00,-3.00,1.000,0.4315,0.4414,TRUE,Conformity,Low
121,50065,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,2026-06-03 08:43:00,Treated,0,FALSE,307.0,115.000,40.99,307.00,3.00,76.000,0.6335,0.8050,TRUE,Conformity,Low
122,50053,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,2026-06-03 08:43:00,Treated,0,FALSE,715.0,29.000,35.87,715.00,-83.50,-4.000,0.0544,0.0570,TRUE,Conformity,Conformity
123,50065,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,2026-06-03 08:46:00,Treated,0,FALSE,307.0,115.000,40.99,307.00,3.00,76.000,0.6335,0.8050,TRUE,Conformity,Low
124,50053,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,2026-06-03 08:46:00,Treated,0,FALSE,715.0,29.000,35.87,715.00,-83.50,-4.000,0.0544,0.0570,TRUE,Conformity,Conformity
125,50053,Turkana.Turkana West.Kakuma.Nakoyo.500m East.Public Stand Tap 3,2026-06-03 09:11:00,Treated,0,FALSE,715.0,30.000,38.22,715.00,-83.50,-3.000,0.1538,0.1631,TRUE,Conformity,Conformity
126,50053,Turkana.Turkana West.Kakuma.Nakoyo.500m East.Public Stand Tap 3,2026-06-03 09:14:00,Treated,0,FALSE,715.0,30.000,38.22,715.00,-83.50,-3.000,0.1538,0.1631,TRUE,Conformity,Conformity
127,50065,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,2026-06-03 09:31:00,Treated,0,FALSE,279.0,41.000,37.79,279.00,-25.00,2.000,0.1339,0.1367,TRUE,Conformity,Conformity
128,50053,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,2026-06-03 09:31:00,Treated,0,FALSE,735.0,29.000,37.27,735.00,-63.50,-4.000,0.1643,0.1724,TRUE,Conformity,Conformity
129,50065,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,2026-06-03 09:33:00,Treated,0,FALSE,279.0,41.000,37.79,279.00,-25.00,2.000,0.1339,0.1367,TRUE,Conformity,Conformity
130,50053,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,2026-06-03 09:33:00,Treated,0,FALSE,735.0,29.000,37.27,735.00,-63.50,-4.000,0.1643,0.1724,TRUE,Conformity,Conformity
131,50053,Turkana.Turkana West.Kakuma.Nakoyo.Public Stand Tap 6,2026-06-03 09:58:00,Treated,0,FALSE,758.0,29.000,35.52,758.00,-40.50,-4.000,0.1495,0.1548,TRUE,Conformity,Conformity
132,50065,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1,2026-06-04 08:11:00,Treated,0,FALSE,293.0,39.000,37.60,293.00,-11.00,0.000,0.2937,0.2992,TRUE,Conformity,Conformity
133,50053,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1,2026-06-04 08:11:00,Treated,0,FALSE,795.0,33.000,34.58,795.00,-3.50,0.000,0.2061,0.2115,TRUE,Conformity,Conformity
134,50065,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:27:00,Treated,0,FALSE,265.0,39.000,36.73,265.00,-39.00,0.000,-0.0799,-0.0820,TRUE,Conformity,Conformity
135,50053,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:27:00,Treated,0,FALSE,811.0,32.000,34.05,811.00,12.50,-1.000,0.2240,0.2293,TRUE,Conformity,Conformity
136,50065,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1,2026-06-04 08:13:00,Treated,0,FALSE,293.0,39.000,37.60,293.00,-11.00,0.000,0.2937,0.2992,TRUE,Conformity,Conformity
137,50053,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1,2026-06-04 08:13:00,Treated,0,FALSE,795.0,33.000,34.58,795.00,-3.50,0.000,0.2061,0.2115,TRUE,Conformity,Conformity
138,50065,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:29:00,Treated,0,FALSE,265.0,39.000,36.73,265.00,-39.00,0.000,-0.0799,-0.0820,TRUE,Conformity,Conformity
139,50053,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:29:00,Treated,0,FALSE,811.0,32.000,34.05,811.00,12.50,-1.000,0.2240,0.2293,TRUE,Conformity,Conformity
140,50065,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:33:00,Treated,0,FALSE,257.0,39.000,37.82,257.00,-47.00,0.000,-0.1303,-0.1344,TRUE,Conformity,Conformity
141,50053,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,2026-06-04 08:33:00,Treated,0,FALSE,802.0,31.000,34.57,802.00,3.50,-2.000,0.2225,0.2283,TRUE,Conformity,Conformity
